ticker,date,issue
FTK,,TICKER_DIR_MISSING
CLBH,,TICKER_DIR_MISSING
IPCC,,TICKER_DIR_MISSING
KNM,,TICKER_DIR_MISSING
THS,,TICKER_DIR_MISSING
THR,,TICKER_DIR_MISSING
MGNX,,TICKER_DIR_MISSING
AAME,,TICKER_DIR_MISSING
AGMH,,TICKER_DIR_MISSING
PN,,TICKER_DIR_MISSING
GOGO,,TICKER_DIR_MISSING
BNTC,,TICKER_DIR_MISSING
PESI,,TICKER_DIR_MISSING
ETRM,,TICKER_DIR_MISSING
TRW,,TICKER_DIR_MISSING
JAGX,,TICKER_DIR_MISSING
PBYI,,TICKER_DIR_MISSING
CTS,,TICKER_DIR_MISSING
UVV,,TICKER_DIR_MISSING
AFSI,,TICKER_DIR_MISSING
QCP,,TICKER_DIR_MISSING
CBIO,,TICKER_DIR_MISSING
YHOO,,TICKER_DIR_MISSING
CAL,,TICKER_DIR_MISSING
CEMP,,TICKER_DIR_MISSING
CLW,,TICKER_DIR_MISSING
PERY,,TICKER_DIR_MISSING
UFCS,,TICKER_DIR_MISSING
UTMD,,TICKER_DIR_MISSING
BV,,TICKER_DIR_MISSING
LVNTA,,TICKER_DIR_MISSING
ENTL,,TICKER_DIR_MISSING
WSBF,,TICKER_DIR_MISSING
LMCA,,TICKER_DIR_MISSING
LIQT,,TICKER_DIR_MISSING
MTRX,,TICKER_DIR_MISSING
GALT,,TICKER_DIR_MISSING
CVV,,TICKER_DIR_MISSING
LOAN,,TICKER_DIR_MISSING
MDXG,,TICKER_DIR_MISSING
MARPS,,TICKER_DIR_MISSING
TICC,,TICKER_DIR_MISSING
CIA,,TICKER_DIR_MISSING
NOMD,,TICKER_DIR_MISSING
TWO,,TICKER_DIR_MISSING
MITK,,TICKER_DIR_MISSING
POT,,TICKER_DIR_MISSING
NCI,,TICKER_DIR_MISSING
VNTV,,TICKER_DIR_MISSING
BBSI,,TICKER_DIR_MISSING
CLMS,,TICKER_DIR_MISSING
TCX,,TICKER_DIR_MISSING
AYN,,TICKER_DIR_MISSING
TEU,,TICKER_DIR_MISSING
GOOS,,TICKER_DIR_MISSING
GTWN,,TICKER_DIR_MISSING
CAAS,,TICKER_DIR_MISSING
FSIC,,TICKER_DIR_MISSING
BHVN,,TICKER_DIR_MISSING
CLNE,,TICKER_DIR_MISSING
CUE,,TICKER_DIR_MISSING
GPMT,,TICKER_DIR_MISSING
HTBK,,TICKER_DIR_MISSING
AEYE,,TICKER_DIR_MISSING
GRNQ,,TICKER_DIR_MISSING
WWW,,TICKER_DIR_MISSING
ICHR,,TICKER_DIR_MISSING
MM,,TICKER_DIR_MISSING
TTGT,,TICKER_DIR_MISSING
CJES,,TICKER_DIR_MISSING
MOV,,TICKER_DIR_MISSING
XPER,,TICKER_DIR_MISSING
EXA,,TICKER_DIR_MISSING
KALA,,TICKER_DIR_MISSING
SNGX,,TICKER_DIR_MISSING
IROQ,,TICKER_DIR_MISSING
ESPR,,TICKER_DIR_MISSING
ATLS,,TICKER_DIR_MISSING
STEM,,TICKER_DIR_MISSING
PNRG,,TICKER_DIR_MISSING
FLWS,,TICKER_DIR_MISSING
PANL,,TICKER_DIR_MISSING
GABC,,TICKER_DIR_MISSING
MTEX,,TICKER_DIR_MISSING
OKSB,,TICKER_DIR_MISSING
JELD,,TICKER_DIR_MISSING
ARTW,,TICKER_DIR_MISSING
KFFB,,TICKER_DIR_MISSING
OREX,,TICKER_DIR_MISSING
DERM,,TICKER_DIR_MISSING
IMS,,TICKER_DIR_MISSING
CZWI,,TICKER_DIR_MISSING
OCFC,,TICKER_DIR_MISSING
NEXT,,TICKER_DIR_MISSING
ZQK,,TICKER_DIR_MISSING
RSPP,,TICKER_DIR_MISSING
CHCT,,TICKER_DIR_MISSING
NRT,,TICKER_DIR_MISSING
CNTY,,TICKER_DIR_MISSING
RDIB,,TICKER_DIR_MISSING
HRG,,TICKER_DIR_MISSING
MLR,,TICKER_DIR_MISSING
CHI,,TICKER_DIR_MISSING
PCBK,,TICKER_DIR_MISSING
CASH,,TICKER_DIR_MISSING
DTSS,,TICKER_DIR_MISSING
TWIN,,TICKER_DIR_MISSING
ACTA,,TICKER_DIR_MISSING
NTI,,TICKER_DIR_MISSING
ACNB,,TICKER_DIR_MISSING
GWRS,,TICKER_DIR_MISSING
CLPR,,TICKER_DIR_MISSING
KNDI,,TICKER_DIR_MISSING
CIM,,TICKER_DIR_MISSING
PLKI,,TICKER_DIR_MISSING
SCOR,,TICKER_DIR_MISSING
NTCT,,TICKER_DIR_MISSING
HLX,,TICKER_DIR_MISSING
ABUS,,TICKER_DIR_MISSING
DHRM,,TICKER_DIR_MISSING
GDF,,TICKER_DIR_MISSING
EQY,,TICKER_DIR_MISSING
CFNL,,TICKER_DIR_MISSING
UPLD,,TICKER_DIR_MISSING
MRVC,,TICKER_DIR_MISSING
SPCB,,TICKER_DIR_MISSING
TBRG,,TICKER_DIR_MISSING
CFNB,,TICKER_DIR_MISSING
CWBC,,TICKER_DIR_MISSING
DV,,TICKER_DIR_MISSING
BLNK,,TICKER_DIR_MISSING
RNF,,TICKER_DIR_MISSING
BCBP,,TICKER_DIR_MISSING
CBFV,,TICKER_DIR_MISSING
TLF,,TICKER_DIR_MISSING
EVER,,TICKER_DIR_MISSING
CRWS,,TICKER_DIR_MISSING
ZLTQ,,TICKER_DIR_MISSING
GY,,TICKER_DIR_MISSING
TRS,,TICKER_DIR_MISSING
RSTI,,TICKER_DIR_MISSING
IRG,,TICKER_DIR_MISSING
NATH,,TICKER_DIR_MISSING
ARTNA,,TICKER_DIR_MISSING
MRC,,TICKER_DIR_MISSING
SALE,,TICKER_DIR_MISSING
CBRL,,TICKER_DIR_MISSING
PEB,,TICKER_DIR_MISSING
CCRN,,TICKER_DIR_MISSING
ACE,,TICKER_DIR_MISSING
ESEA,,TICKER_DIR_MISSING
SFST,,TICKER_DIR_MISSING
RGR,,TICKER_DIR_MISSING
SLD,,TICKER_DIR_MISSING
MJN,,TICKER_DIR_MISSING
GPIA,,TICKER_DIR_MISSING
FNCX,,TICKER_DIR_MISSING
NPI,,TICKER_DIR_MISSING
CNXN,,TICKER_DIR_MISSING
SD,,TICKER_DIR_MISSING
DXR,,TICKER_DIR_MISSING
FSTR,,TICKER_DIR_MISSING
RICK,,TICKER_DIR_MISSING
XSPL,,TICKER_DIR_MISSING
NEON,,TICKER_DIR_MISSING
CDLX,,TICKER_DIR_MISSING
GLPW,,TICKER_DIR_MISSING
FENX,,TICKER_DIR_MISSING
GNCMA,,TICKER_DIR_MISSING
ARVN,,TICKER_DIR_MISSING
DEG,,TICKER_DIR_MISSING
NSP,,TICKER_DIR_MISSING
OFLX,,TICKER_DIR_MISSING
MDWD,,TICKER_DIR_MISSING
LBIO,,TICKER_DIR_MISSING
ISTR,,TICKER_DIR_MISSING
WPRT,,TICKER_DIR_MISSING
THFF,,TICKER_DIR_MISSING
MYGN,,TICKER_DIR_MISSING
CMPR,,TICKER_DIR_MISSING
PPS,,TICKER_DIR_MISSING
TPIV,,TICKER_DIR_MISSING
RGCO,,TICKER_DIR_MISSING
CCN,,TICKER_DIR_MISSING
FCH,,TICKER_DIR_MISSING
EE,,TICKER_DIR_MISSING
TCBK,,TICKER_DIR_MISSING
NQS,,TICKER_DIR_MISSING
HUN,,TICKER_DIR_MISSING
RMGN,,TICKER_DIR_MISSING
HOTR,,TICKER_DIR_MISSING
TROX,,TICKER_DIR_MISSING
GDOT,,TICKER_DIR_MISSING
GLBS,,TICKER_DIR_MISSING
CPSH,,TICKER_DIR_MISSING
SSH,,TICKER_DIR_MISSING
GLP,,TICKER_DIR_MISSING
LCNB,,TICKER_DIR_MISSING
MEG,,TICKER_DIR_MISSING
AHH,,TICKER_DIR_MISSING
SGL,,TICKER_DIR_MISSING
SSYS,,TICKER_DIR_MISSING
MBVX,,TICKER_DIR_MISSING
CLRB,,TICKER_DIR_MISSING
HAO,,TICKER_DIR_MISSING
MTX,,TICKER_DIR_MISSING
ITIC,,TICKER_DIR_MISSING
NSSC,,TICKER_DIR_MISSING
COB,,TICKER_DIR_MISSING
EEP,,TICKER_DIR_MISSING
AIRG,,TICKER_DIR_MISSING
DENN,,TICKER_DIR_MISSING
BWINB,,TICKER_DIR_MISSING
MYCC,,TICKER_DIR_MISSING
RPD,,TICKER_DIR_MISSING
BWEN,,TICKER_DIR_MISSING
PVTB,,TICKER_DIR_MISSING
DSKX,,TICKER_DIR_MISSING
KSS,,TICKER_DIR_MISSING
IMPR,,TICKER_DIR_MISSING
RELL,,TICKER_DIR_MISSING
WHG,,TICKER_DIR_MISSING
MWE,,TICKER_DIR_MISSING
SURG,,TICKER_DIR_MISSING
LPTN,,TICKER_DIR_MISSING
SENEB,,TICKER_DIR_MISSING
INVA,,TICKER_DIR_MISSING
CAA,,TICKER_DIR_MISSING
FOXF,,TICKER_DIR_MISSING
RETO,,TICKER_DIR_MISSING
XPLR,,TICKER_DIR_MISSING
ESMC,,TICKER_DIR_MISSING
ECOR,,TICKER_DIR_MISSING
CASI,,TICKER_DIR_MISSING
DDD,,TICKER_DIR_MISSING
AF,,TICKER_DIR_MISSING
CCB,,TICKER_DIR_MISSING
ACRE,,TICKER_DIR_MISSING
EXXI,,TICKER_DIR_MISSING
ENOC,,TICKER_DIR_MISSING
SNOA,,TICKER_DIR_MISSING
APEI,,TICKER_DIR_MISSING
LADR,,TICKER_DIR_MISSING
OCLS,,TICKER_DIR_MISSING
LPG,,TICKER_DIR_MISSING
TPVG,,TICKER_DIR_MISSING
AET,,TICKER_DIR_MISSING
RMP,,TICKER_DIR_MISSING
BWLD,,TICKER_DIR_MISSING
PRPH,,TICKER_DIR_MISSING
