ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
AACB,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
AAI,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
AAME,COMPLETE,0,0,0,0,2004-01-02,,,
AAN.A,MISSING,0,0,0,0,2009-04-20,,,TICKER_DIR_MISSING
AAPC,COMPLETE,0,0,0,0,2015-04-29,,,
AAT,COMPLETE,0,0,0,0,2011-01-13,,,
AAV,COMPLETE,0,0,0,0,2005-12-09,,,
ABAT,MISSING,0,0,0,0,2008-02-26,,,TICKER_DIR_MISSING
ABAX,COMPLETE,0,0,0,0,2004-01-02,,,
ABCD,COMPLETE,0,0,0,0,2009-12-09,,,
ABCO,COMPLETE,0,0,0,0,2004-01-02,,,
ABEO,COMPLETE,0,0,0,0,2015-06-22,,,
ABH,MISSING,0,0,0,0,2005-01-25,,,TICKER_DIR_MISSING
ABK,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABL,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABN,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABP,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABR,COMPLETE,0,0,0,0,2004-04-07,,,
ABS,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABTL,COMPLETE,0,0,0,0,2004-01-02,,,
ABUS,COMPLETE,0,0,0,0,2015-08-03,,,
ABV,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ABV.C,MISSING,0,0,0,0,2004-01-07,,,TICKER_DIR_MISSING
ABVT,MISSING,0,0,0,0,2009-05-12,,,TICKER_DIR_MISSING
ABY,COMPLETE,0,0,0,0,2004-01-02,,,
ACAS,COMPLETE,0,0,0,0,2004-01-02,,,
ACAT,COMPLETE,0,0,0,0,2004-01-02,,,
ACB,COMPLETE,0,0,0,0,2007-09-28,,,
ACCL,MISSING,0,0,0,0,2004-02-27,,,TICKER_DIR_MISSING
ACCO,COMPLETE,0,0,0,0,2012-05-01,,,
ACE,COMPLETE,0,0,0,0,2004-01-02,,,
ACEL,MISSING,0,0,0,0,2004-09-09,,,TICKER_DIR_MISSING
ACET,COMPLETE,0,0,0,0,2004-01-02,,,
ACF,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACFC,COMPLETE,0,0,0,0,2004-10-05,,,
ACFN,COMPLETE,0,0,0,0,2007-12-17,,,
ACG,COMPLETE,0,0,0,0,2004-01-02,,,
ACHC,COMPLETE,0,0,0,0,2011-11-01,,,
ACHV,COMPLETE,0,0,0,0,2017-08-03,,,
ACIU,COMPLETE,0,0,0,0,2016-09-23,,,
ACL,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACMP,MISSING,0,0,0,0,2012-07-24,,,TICKER_DIR_MISSING
ACNB,COMPLETE,0,0,0,0,2010-12-21,,,
ACO,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACPW,COMPLETE,0,0,0,0,2004-01-02,,,
ACR,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACRE,COMPLETE,0,0,0,0,2012-04-26,,,
ACRS,COMPLETE,0,0,0,0,2015-10-07,,,
ACS,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACSF,COMPLETE,0,0,0,0,2014-01-16,,,
ACTA,COMPLETE,0,0,0,0,2014-09-03,,,
ACTG,COMPLETE,0,0,0,0,2004-01-02,,,
ACTU,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ACUR,COMPLETE,0,0,0,0,2008-02-04,,,
ACW,COMPLETE,0,0,0,0,2005-04-26,,,
ACXM,COMPLETE,0,0,0,0,2004-01-02,,,
ADAM,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ADCT,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ADHD,COMPLETE,0,0,0,0,2013-05-22,,,
ADIL,COMPLETE,0,0,0,0,2018-07-27,,,
ADNT,COMPLETE,0,0,0,0,2016-10-31,,,
ADO,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
ADTN,COMPLETE,0,0,0,0,2004-01-02,,,
ADVM,COMPLETE,0,0,0,0,2016-05-12,,,
ADY,MISSING,0,0,0,0,2004-01-02,,,TICKER_DIR_MISSING
AEA,MISSING,0,0,0,0,2004-12-16,,,TICKER_DIR_MISSING
AEC,COMPLETE,0,0,0,0,2004-01-02,,,
AEGR,COMPLETE,0,0,0,0,2010-10-22,,,
AEHR,COMPLETE,0,0,0,0,2004-01-02,,,
AEI,MISSING,0,0,0,0,2004-01-27,,,TICKER_DIR_MISSING
AEMD,COMPLETE,0,0,0,0,2015-07-13,,,
AEPI,COMPLETE,0,0,0,0,2004-01-02,,,
AERT,MISSING,0,0,0,0,2006-07-03,,,TICKER_DIR_MISSING
AET,COMPLETE,0,0,0,0,2004-01-02,,,
AEYE,COMPLETE,0,0,0,0,2018-09-04,,,
