ticker,status,expected_months,downloaded_months,missing_months,extra_months,completeness_pct,missing_months_detail,extra_months_detail
DTSS,INCOMPLETE,1,0,1,0,0.0,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
NESR,INCOMPLETE,19,18,1,0,94.73684210526315,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
CRVS,INCOMPLETE,34,33,1,0,97.05882352941177,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
PLSE,INCOMPLETE,32,31,1,0,96.875,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
ASN,COMPLETE,46,46,0,0,100.0,"",""
LFB,COMPLETE,40,40,0,0,100.0,"",""
MBNAA,COMPLETE,3,3,0,0,100.0,"",""
CPHR,COMPLETE,26,26,0,0,100.0,"",""
TFIN,COMPLETE,63,63,0,0,100.0,"",""
OSPN,INCOMPLETE,7,6,1,0,85.71428571428571,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
MGS,COMPLETE,78,78,0,0,100.0,"",""
WCST,COMPLETE,27,27,0,0,100.0,"",""
JNC,COMPLETE,47,47,0,0,100.0,"",""
OVLY,INCOMPLETE,120,119,1,0,99.16666666666667,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
EFOI,INCOMPLETE,108,107,1,0,99.07407407407408,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
WW,COMPLETE,72,72,0,0,100.0,"",""
CT,COMPLETE,113,113,0,0,100.0,"",""
DGF,COMPLETE,94,94,0,0,100.0,"",""
ENL,COMPLETE,139,139,0,0,100.0,"",""
LOCO,INCOMPLETE,54,53,1,0,98.14814814814815,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
BRL,COMPLETE,60,60,0,0,100.0,"",""
NUI,COMPLETE,11,11,0,0,100.0,"",""
JCC,COMPLETE,25,25,0,0,100.0,"",""
CSC,COMPLETE,159,159,0,0,100.0,"",""
PBIB,COMPLETE,142,142,0,0,100.0,"",""
GTIM,INCOMPLETE,180,179,1,0,99.44444444444444,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
DPM,COMPLETE,134,134,0,0,100.0,"",""
PLUS,INCOMPLETE,167,166,1,0,99.40119760479041,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
BOOM,INCOMPLETE,180,179,1,0,99.44444444444444,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
IBCP,INCOMPLETE,179,178,1,0,99.4413407821229,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
MBI,INCOMPLETE,180,175,5,0,97.22222222222221,"shape: (5,)
Series: '' [list[i64]]
[
	[2013, 12]
	[2014, 1]
	[2014, 2]
	[2014, 3]
	[2018, 12]
]",""
APEI,INCOMPLETE,134,133,1,0,99.25373134328358,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
RI,COMPLETE,40,40,0,0,100.0,"",""
OCIP,COMPLETE,58,58,0,0,100.0,"",""
SSRI,COMPLETE,164,164,0,0,100.0,"",""
RIOM,COMPLETE,29,29,0,0,100.0,"",""
ROV,COMPLETE,16,16,0,0,100.0,"",""
LAS,COMPLETE,53,53,0,0,100.0,"",""
RYL,COMPLETE,141,141,0,0,100.0,"",""
SSM,COMPLETE,56,56,0,0,100.0,"",""
LPCN,INCOMPLETE,58,57,1,0,98.27586206896551,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
MNY,COMPLETE,7,7,0,0,100.0,"",""
AAN.A,COMPLETE,21,21,0,0,100.0,"",""
FET,INCOMPLETE,81,79,2,0,97.53086419753086,"shape: (2,)
Series: '' [list[i64]]
[
	[2016, 7]
	[2018, 12]
]",""
DWSN,INCOMPLETE,180,179,1,0,99.44444444444444,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
BWFG,INCOMPLETE,56,55,1,0,98.21428571428571,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
CCB,INCOMPLETE,24,23,1,0,95.83333333333334,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
NSPR,INCOMPLETE,69,68,1,0,98.55072463768117,"shape: (1,)
Series: '' [list[i64]]
[
	[2018, 12]
]",""
DRCT,COMPLETE,39,39,0,0,100.0,"",""
BSFT,COMPLETE,93,93,0,0,100.0,"",""
