ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
AAME,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
AAPC,INCOMPLETE_NO_SUCCESS,775,0,203,572,2016-01-04,2016-01-04,2016-11-08,203 dias sin _SUCCESS
AAT,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
AAV,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
ABAX,INCOMPLETE_NO_SUCCESS,1864,0,1709,155,2011-10-17,2011-10-17,2018-08-01,1709 dias sin _SUCCESS
ABCD,INCOMPLETE_NO_SUCCESS,1864,0,1793,71,2011-10-17,2011-10-17,2018-12-17,1793 dias sin _SUCCESS
ABCO,INCOMPLETE_NO_SUCCESS,1864,0,1534,330,2011-10-17,2011-10-17,2017-11-17,1534 dias sin _SUCCESS
ABEO,INCOMPLETE_NO_SUCCESS,803,0,782,21,2015-11-23,2015-11-23,2018-12-31,782 dias sin _SUCCESS
ABR,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
ABTL,INCOMPLETE_NO_SUCCESS,1864,0,1503,361,2011-10-17,2011-10-17,2017-10-06,1503 dias sin _SUCCESS
ABUS,INCOMPLETE_NO_SUCCESS,803,0,781,22,2015-11-23,2015-11-23,2018-12-31,781 dias sin _SUCCESS
ABY,EMPTY,1076,0,0,1076,2014-11-03,,,Directorio vacio
ACAS,INCOMPLETE_NO_SUCCESS,1864,0,1314,550,2011-10-17,2011-10-17,2017-01-03,1314 dias sin _SUCCESS
ACAT,INCOMPLETE_NO_SUCCESS,1864,0,1355,509,2011-10-17,2011-10-17,2017-03-06,1355 dias sin _SUCCESS
ACB,EMPTY,45,0,0,45,2018-10-29,,,Directorio vacio
ACCO,INCOMPLETE_NO_SUCCESS,1719,0,1674,45,2012-05-07,2012-05-07,2018-12-31,1674 dias sin _SUCCESS
ACE,INCOMPLETE_NO_SUCCESS,1864,0,1070,794,2011-10-17,2011-10-17,2016-01-15,1070 dias sin _SUCCESS
ACET,INCOMPLETE_NO_SUCCESS,1864,0,1815,49,2011-10-17,2011-10-17,2018-12-31,1815 dias sin _SUCCESS
ACFC,EMPTY,1584,0,0,1584,2012-11-13,,,Directorio vacio
ACFN,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
ACG,INCOMPLETE_PARTIAL,1864,184,0,1680,2011-10-17,2015-07-27,2016-04-18,1680 dias faltantes
ACHC,INCOMPLETE_NO_SUCCESS,1853,0,1802,51,2011-11-01,2011-11-01,2018-12-31,1802 dias sin _SUCCESS
ACHV,INCOMPLETE_NO_SUCCESS,287,0,280,7,2017-11-20,2017-11-20,2018-12-31,280 dias sin _SUCCESS
ACIU,INCOMPLETE_NO_SUCCESS,561,0,545,16,2016-10-31,2016-10-31,2018-12-31,545 dias sin _SUCCESS
ACNB,INCOMPLETE_NO_SUCCESS,1864,0,1793,71,2011-10-17,2011-10-17,2018-12-31,1793 dias sin _SUCCESS
ACPW,INCOMPLETE_NO_SUCCESS,1864,0,1289,575,2011-10-17,2011-10-17,2016-11-29,1289 dias sin _SUCCESS
