ticker,status,completeness_pct,daily_first,daily_last,daily_days,ticks_found,ticks_missing,issue
ARDM,COMPLETE,100.0,2019-01-02,2019-01-14,9,9,0,""
PODC,COMPLETE,100.0,2023-09-08,2025-11-17,551,551,0,""
RDCM,COMPLETE,100.0,2019-01-02,2025-11-17,1729,1729,0,""
VSTS,COMPLETE,100.0,2023-10-02,2025-11-17,535,535,0,""
KAMN,COMPLETE,100.0,2019-01-02,2024-04-18,1333,1333,0,""
OPOF,COMPLETE,100.0,2019-01-02,2025-08-29,1507,1507,0,""
QNGY,COMPLETE,100.0,2022-02-09,2022-12-13,209,209,0,""
ASIX,COMPLETE,100.0,2019-01-02,2025-11-17,1730,1730,0,""
LUNG,COMPLETE,100.0,2020-10-01,2025-11-17,1289,1289,0,""
GRA,COMPLETE,100.0,2019-01-02,2021-09-21,686,686,0,""
BLNK,COMPLETE,100.0,2019-01-02,2025-11-17,1730,1730,0,""
VERA,COMPLETE,100.0,2021-05-14,2025-11-17,1134,1134,0,""
TOCA,COMPLETE,100.0,2019-01-02,2020-06-15,366,366,0,""
VQS,COMPLETE,100.0,2021-08-12,2023-10-04,540,540,0,""
VRN,COMPLETE,100.0,2024-05-15,2025-05-09,247,247,0,""
OLB,COMPLETE,100.0,2020-08-07,2025-11-17,1322,1322,0,""
DMYD,COMPLETE,100.0,2020-10-05,2021-04-20,135,135,0,""
DAOO,COMPLETE,100.0,2022-01-12,2022-12-21,195,195,0,""
CCLP,COMPLETE,100.0,2019-01-02,2024-04-01,1320,1320,0,""
LSPD,COMPLETE,100.0,2020-09-11,2025-11-17,1303,1303,0,""
MTRX,COMPLETE,100.0,2019-01-02,2025-11-17,1730,1730,0,""
CNNB,COMPLETE,100.0,2020-01-23,2023-10-31,773,773,0,""
AKP,COMPLETE,100.0,2019-01-02,2019-05-02,84,84,0,""
CDLX,COMPLETE,100.0,2019-01-02,2025-11-17,1730,1730,0,""
DYAI,COMPLETE,100.0,2019-04-17,2025-11-17,1657,1657,0,""
ELVT,COMPLETE,100.0,2019-01-02,2023-02-27,1046,1046,0,""
OSRH,COMPLETE,100.0,2025-02-18,2025-11-17,190,190,0,""
GHRS,COMPLETE,100.0,2021-06-25,2025-11-17,1105,1105,0,""
SKYQ,COMPLETE,100.0,2024-10-10,2025-11-17,277,277,0,""
DCIX,COMPLETE,100.0,2019-01-02,2020-03-27,312,312,0,""
FORG,COMPLETE,100.0,2021-09-16,2023-08-22,486,486,0,""
TRAK,COMPLETE,100.0,2023-11-02,2025-11-17,512,512,0,""
CLUB,COMPLETE,100.0,2019-01-02,2020-09-23,436,436,0,""
LITT,COMPLETE,100.0,2021-08-12,2023-06-15,353,353,0,""
JWS,COMPLETE,100.0,2020-07-06,2021-06-03,231,231,0,""
QUIK,COMPLETE,100.0,2019-01-02,2025-11-17,1730,1730,0,""
MBVI,COMPLETE,100.0,2025-10-17,2025-11-17,21,21,0,""
HOTH,COMPLETE,100.0,2019-02-15,2025-11-17,1696,1696,0,""
GREE,COMPLETE,100.0,2021-09-15,2025-11-17,1049,1049,0,""
